bet_slip_number,date_time,bet_name,coefficient,is_express,status,bet_selection,stake,event_time
73183292815,23.11.2025 | 21:41,Football. England. Premier League Corners Arsenal - Corners Tottenham Hotspur 1st half,1.78,No,unsettled,Individual Total 1 Over (3.5) (unsettled),0.3 ,23.11.2025 | 21:15
73183233437,23.11.2025 | 21:40,Football. England. Premier League Arsenal - Tottenham Hotspur 1st half,1.74,No,unsettled,Individual Total 1 Over (0.5) (unsettled),0.3 ,23.11.2025 | 21:15
73183149107,23.11.2025 | 21:39,Football. Russia. Premier League Lokomotiv Moscow - Krasnodar,1.63,No,win,Both Teams To Score - Yes (win),0.3 ,23.11.2025 | 21:45
73182799917,23.11.2025 | 21:34,Football. Spain. La Liga Real Betis - Girona,1.74,No,unsettled,Individual Total 1 Over (1) (unsettled),0.3 ,23.11.2025 | 20:15
73178342637,23.11.2025 | 20:32,Football. Nigeria. Premier League Abia Warriors - Bendel Insurance,2.09,No,loss,W1 (loss),0.3 ,23.11.2025 | 20:00
73177966059,23.11.2025 | 20:27,Football. Spain. Segunda Division Burgos - Racing de Santander,1.86,No,unsettled,Both Teams To Score - Yes (unsettled),0.3 ,23.11.2025 | 22:30
73177426025,23.11.2025 | 20:19,Football. Italy. Serie A Cremonese - Roma,1.52,No,loss,Both Teams To Score - No (loss),0.3 ,23.11.2025 | 19:00
73177240621,23.11.2025 | 20:17,Football. France. Ligue 1 Auxerre - Lyon,1.98,No,loss,Total Over (1) (loss),0.3 ,23.11.2025 | 19:00
73177006411,23.11.2025 | 20:13,Football. Germany. Bundesliga RasenBallsport Leipzig - Werder Bremen,1,No,win,Total Over (2) (100% refund),0.3 ,23.11.2025 | 19:30
73176211337,23.11.2025 | 20:03,Football. Nigeria. Premier League Nasarawa United - El-Kanemi Warriors,1.32,No,win,W1 (win),0.42 ,23.11.2025 | 20:00
73169846585,23.11.2025 | 18:30,Football. Spain. La Liga Yellow Cards Real Oviedo - Yellow Cards Rayo Vallecano,1.61,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,23.11.2025 | 18:00
73169484781,23.11.2025 | 18:25,Football. Spain. La Liga Yellow Cards Real Oviedo - Yellow Cards Rayo Vallecano,1.64,No,win,Individual Total 2 Over (1.5) (win),0.3 ,23.11.2025 | 18:00
73166780527,23.11.2025 | 17:45,Football. Russia. Premier League Corners Pari Nizhny Novgorod - Corners Zenit Saint Petersburg 1st half,1.66,No,loss,Individual Total 2 Over (3) (loss),0.3 ,23.11.2025 | 17:15
73165803905,23.11.2025 | 17:29,Football. Russia. Premier League Corners Pari Nizhny Novgorod - Corners Zenit Saint Petersburg 1st half,1,No,win,Individual Total 2 Over (2) (100% refund),0.3 ,23.11.2025 | 17:15
73165635577,23.11.2025 | 17:26,Football. Russia. Premier League Pari Nizhny Novgorod - Zenit Saint Petersburg,1.38,No,win,W2 (win),0.3 ,23.11.2025 | 17:15
73163160893,23.11.2025 | 16:45,Football. England. Premier League Shots Towards The Goal Arsenal - Shots Towards The Goal Tottenham Hotspur 1st half,1.73,No,win,Individual Total 1 Over (6.5) (win),0.3 ,23.11.2025 | 21:30
73162739477,23.11.2025 | 16:37,Football. Netherlands. Eredivisie Heerenveen - AZ Alkmaar,1.59,No,win,Both Teams To Score - Yes (win),0.3 ,23.11.2025 | 16:15
73162527987,23.11.2025 | 16:33,Football. Italy. Serie A Hellas Verona - Parma 1st half,2.04,No,loss,X (loss),0.3 ,23.11.2025 | 16:15
73162441075,23.11.2025 | 16:32,Football. Germany. Bundesliga RasenBallsport Leipzig - Werder Bremen,1.47,No,loss,Both Teams To Score - Yes (loss),0.3 ,23.11.2025 | 19:30
73162350869,23.11.2025 | 16:30,Football. Russia. Premier League Krylia Sovetov - Rostov,2.05,No,loss,Individual Total 2 Over (0.5) (loss),0.3 ,23.11.2025 | 15:00
73162234413,23.11.2025 | 16:28,Football. Italy. Serie A Internazionale Milano - Milan,1.79,No,unsettled,Both Teams To Score - Yes (unsettled),0.3 ,24.11.2025 | 00:45
73162206899,23.11.2025 | 16:27,Football. England. Premier League Leeds United - Aston Villa,1.79,No,win,Both Teams To Score - Yes (win),0.3 ,23.11.2025 | 19:00
73147318929,23.11.2025 | 06:23,Football. Brazil. Campeonato Brasileiro. Serie A Flamengo - Red Bull Bragantino,1.56,No,win,Individual Total 1 Over (1) (win),2.82 ,23.11.2025 | 05:30
73146098279,23.11.2025 | 05:22,Football. Brazil. Campeonato Brasileiro. Serie A Sociedade Esportiva Palmeiras - Fluminense | Football. Brazil. Campeonato Brasileiro. Serie A Flamengo - Red Bull Bragantino,4.14,Yes,loss,Both Teams To Score - Yes (loss) | Both Teams To Score - Yes (loss),0.3 ,23.11.2025 | 05:30 | 23.11.2025 | 05:30
73133294553,22.11.2025 | 23:47,Football. England. Premier League Newcastle United - Manchester City,1.66,No,win,Total Over (1) (win),0.95 ,22.11.2025 | 22:30
73131659405,22.11.2025 | 23:16,Football. France. Ligue 1 Stade Rennais - AS Monaco,1.65,No,win,Both Teams To Score - Yes (win),0.3 ,22.11.2025 | 23:00
